epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,0.7180498846808968,0.74708,0.827,1.6251959699093026
2,0.43843041358472745,0.84356,0.8474,1.446893639074437
3,0.3869398342602698,0.86032,0.8626,1.360788472685225
4,0.3637261361912693,0.86856,0.8715,1.3656165509878155
5,0.3429426194628334,0.87444,0.8614,1.3652225856696683
6,0.3240433058622853,0.8799,0.8772,1.3382464609483067
7,0.3095548006865527,0.88638,0.8641,1.3282229261134673
8,0.2985272585411968,0.88964,0.8742,1.3350631794699694
9,0.2858281705690467,0.8942,0.8832,1.3162518943229078
10,0.27661362435201853,0.89634,0.8757,1.3323788926709614
11,0.26497794183738094,0.90106,0.8872,1.3133563946511493
12,0.25803993054001073,0.90352,0.8771,1.3384538960299484
13,0.24848070634467065,0.90712,0.8906,1.3179208770090922
14,0.2431477892981923,0.90916,0.8912,1.3541576742303776
15,0.23647557285226062,0.91166,0.8884,1.3690546172331821
16,0.22716047486666677,0.91472,0.8804,1.3480357934183995
17,0.2210273293735426,0.91788,0.8882,1.352759148878346
18,0.21413420627603447,0.9188,0.8876,1.3488533299524732
19,0.21153471390704823,0.92074,0.8913,1.378840677858618
20,0.20653651081635366,0.92236,0.8952,1.3878137636509758
21,0.2009779462909988,0.92382,0.8954,1.3946389305308113
22,0.19258778030171875,0.92702,0.8967,1.346800569138804
23,0.18952062432094455,0.92844,0.8881,1.3848963548744915
24,0.18009769940353415,0.93294,0.8954,1.3600576215532334
25,0.17852549489749514,0.93208,0.8938,1.4056927338440828
26,0.1736738384031998,0.93544,0.8919,1.3950646423222168
27,0.16741234083157366,0.93778,0.8971,1.3949903889663817
28,0.162999960434292,0.93916,0.8839,1.4307303771106525
29,0.1614224421184348,0.93908,0.8897,1.4160483858197832
30,0.15619616237852504,0.9417,0.89,1.4171331755774952
