epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.1750031534744345,0.6001,0.7499,1.35552588557577
2,0.5851313154144056,0.79504,0.8241,2.013630381958161
3,0.47805564095983116,0.83128,0.8288,1.8504096210263514
4,0.43227038130430917,0.84764,0.8488,1.66943481416245
5,0.3973539939431278,0.8567,0.8631,1.543404372634806
6,0.36589779624777374,0.86692,0.8702,1.4483509294012542
7,0.34111325004521537,0.87472,0.8749,1.4050671607769296
8,0.3226318751245051,0.881,0.8749,1.3858062913199187
9,0.3099037246478488,0.88558,0.8784,1.3883374635294734
10,0.29523324197553613,0.891,0.8711,1.3561528530247577
11,0.2842398266620038,0.89474,0.8863,1.365642197182052
12,0.27448287510963354,0.89782,0.8833,1.3700005415638352
13,0.26642922026193355,0.89994,0.8823,1.3790003223800695
14,0.25761709599029226,0.90486,0.8804,1.3597982162984237
15,0.24822735648287836,0.90764,0.8833,1.367417066980173
16,0.24137804044596375,0.90924,0.8904,1.367722896655542
17,0.2334187409323652,0.91222,0.8816,1.379894531444305
18,0.22738112458277998,0.91542,0.8786,1.3754693347000624
19,0.224168811536506,0.91654,0.8821,1.4038171192211166
20,0.21524223894871714,0.91894,0.8875,1.3797166911446344
21,0.20922934435441365,0.92112,0.8952,1.3694821660953858
22,0.20408121722243022,0.92382,0.8952,1.384129200243222
23,0.2011634829832846,0.92506,0.8856,1.3914500125430151
24,0.19421100425903146,0.9277,0.8896,1.3954402688747336
25,0.19044968854073827,0.92852,0.8864,1.4143021318331932
26,0.18504347956603598,0.93038,0.8933,1.3975235856160395
27,0.1801693621460739,0.93256,0.8879,1.4052380171919336
28,0.17462939870974903,0.93404,0.8853,1.4021032195300536
29,0.1707420871947961,0.93558,0.8915,1.3971182368113615
30,0.17117628772907398,0.93522,0.8924,1.4436191721227651
