epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,0.7348292155948746,0.74146,0.8343,1.609979497415453
2,0.44610746239152405,0.8414,0.856,1.4864963418493844
3,0.39421000004843676,0.8584,0.8593,1.420996174520399
4,0.3623301623879796,0.86946,0.8521,1.3757832599039406
5,0.3403709242906412,0.87616,0.8701,1.3486280903546004
6,0.32297624828641674,0.8815,0.8607,1.3646286011591666
7,0.30976379050127684,0.8861,0.8658,1.3568601814221268
8,0.29498691279488753,0.89136,0.881,1.3252610540060952
9,0.28347792896582646,0.8955,0.8622,1.3302128115944334
10,0.27499389810406644,0.89818,0.8822,1.3440638640482323
11,0.27000625837413245,0.89918,0.8858,1.3635249079761818
12,0.2573845498692578,0.90388,0.8852,1.3245489652074318
13,0.2502500507456567,0.90668,0.8764,1.3561181234774253
14,0.24525517028044252,0.90856,0.8907,1.3675484016920916
15,0.23630155131335148,0.91252,0.8884,1.357149825619556
16,0.22874284650930357,0.91466,0.891,1.3556920184279253
17,0.22432991237286717,0.91624,0.8868,1.3627239831170184
18,0.21740386270158127,0.91916,0.8861,1.3386155333389569
19,0.21162199030827988,0.92166,0.8919,1.3414666397335373
20,0.20652222055036698,0.92256,0.8871,1.3715191879772166
21,0.2015457122784365,0.92418,0.8854,1.3696520258934712
22,0.19586075774258208,0.9258,0.8958,1.3608450134733099
23,0.19069458548899007,0.92816,0.879,1.3848596034717129
24,0.18630167159735395,0.92878,0.8873,1.3800081570374891
25,0.178705206750642,0.9322,0.8923,1.3558108135235007
26,0.17593378794696324,0.9333,0.8924,1.3919142387520105
27,0.17362764774038053,0.93512,0.8885,1.3942862774657314
28,0.16932443694671248,0.9373,0.8942,1.398312089700147
29,0.16506291303516882,0.9379,0.8896,1.3982991893757128
30,0.16357699107102422,0.93844,0.8935,1.4414680507219815
