epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.9028155850937298,0.48732,0.7636,0.6393547345322305
2,0.4800101142957845,0.86834,0.8985,1.2080787250411502
3,0.28868902318865597,0.91652,0.925,1.2088469368855528
4,0.2056940094713131,0.94066,0.9461,1.0657876263928228
5,0.1465451288396669,0.9576,0.9559,0.9648655383182123
6,0.10832282498745663,0.96772,0.963,0.8967690684272109
7,0.08326988591803024,0.97576,0.9651,0.830764479005309
8,0.06848614166557426,0.97936,0.9705,0.8098905660366633
9,0.05508731301073604,0.98348,0.9709,0.7509479831601631
10,0.04576498954696819,0.9864,0.9722,0.7258420334415633
11,0.03796356377344283,0.9891,0.9728,0.6694650414360919
12,0.03138595594473116,0.99126,0.9734,0.6265194173229385
13,0.026813793114086975,0.99228,0.9743,0.5888129268201231
14,0.0212840914267444,0.99436,0.9748,0.521925411013293
15,0.017882357732511348,0.99532,0.9758,0.4816071404282177
16,0.013336144760265931,0.9974,0.9748,0.395839713549153
17,0.011118317872736618,0.99788,0.9755,0.3617007824285392
18,0.00868762550169758,0.99864,0.9764,0.3060978285824871
19,0.006985187224629621,0.99908,0.9765,0.2597669864965603
20,0.005579271030959451,0.99948,0.9776,0.21738069021773837
21,0.0046014625876595605,0.9996,0.9771,0.18986792691977097
22,0.003775610928748981,0.9998,0.9773,0.15873598361283056
23,0.003148164701550696,0.99986,0.978,0.13234277441050338
24,0.0026283526941507165,0.99992,0.9778,0.11603673854680581
25,0.0022729402582645397,0.99994,0.9774,0.10121679056356284
26,0.002022673883509603,1.0,0.9778,0.09296189461949775
27,0.001786093759715058,0.99998,0.9775,0.08279941189767558
28,0.001633884607165799,1.0,0.9774,0.07661809400422596
29,0.0014786120993304788,1.0,0.9777,0.06919240569359003
30,0.0013836478782745744,0.99996,0.9776,0.06621300501892105
