epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,0.724358037571468,0.74892,0.8339,1.6450229835879848
2,0.44392295054081454,0.84118,0.8323,1.5035025666906117
3,0.3928033568708183,0.85836,0.8481,1.4182368104696443
4,0.3602943123530244,0.86822,0.8737,1.396016374777116
5,0.3381225230253261,0.87708,0.874,1.3743410989250628
6,0.32292589097452895,0.88072,0.8678,1.3864228689243296
7,0.3057535416387079,0.888,0.8791,1.3521528453134177
8,0.29164563377609337,0.89162,0.8751,1.364669322345072
9,0.28281770346452817,0.89572,0.8743,1.3778721945566776
10,0.27695106020878496,0.89704,0.8861,1.3814016835202894
11,0.26407401524293606,0.90206,0.8811,1.36039336098519
12,0.2579784253445428,0.90394,0.8858,1.3940354023093537
13,0.25081892742220396,0.9062,0.8884,1.3795060814942992
14,0.24063523910234652,0.91014,0.8891,1.3697848660546166
15,0.2375892632929108,0.91136,0.888,1.385886234478297
16,0.22754237335889846,0.91458,0.887,1.3753768548260754
17,0.22238228275247698,0.91622,0.8834,1.3700561135613305
18,0.2166927316276085,0.91886,0.8953,1.3787033361188024
19,0.20719326961109097,0.92198,0.892,1.365589013474553
20,0.20546735894611423,0.92276,0.8932,1.3894553722373664
21,0.19828271779619977,0.92532,0.8919,1.360367306876847
22,0.1921905588330058,0.92754,0.8931,1.3843957208178723
23,0.1873940291774014,0.92926,0.8892,1.3961440174279605
24,0.185565332889252,0.92968,0.8898,1.4234461636010614
25,0.18010907644010565,0.9324,0.8938,1.4033952023413019
26,0.17453393247573995,0.93306,0.8789,1.419889927172157
27,0.16962772613043522,0.93554,0.8953,1.4056356768293
28,0.16409081343771018,0.93788,0.8866,1.4181115167370335
29,0.16144548467291361,0.93872,0.893,1.4228952812354445
30,0.15912575211347368,0.94004,0.8863,1.4453156639887064
