epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.3293197834888077,0.68394,0.8579,0.8430597928727728
2,0.37268653242370053,0.89518,0.9057,1.2303199719172306
3,0.26957607655154775,0.92268,0.9248,1.150774973609602
4,0.19722662906131477,0.94396,0.947,1.0459329479351496
5,0.14261919803812603,0.95892,0.9575,0.9479762758295882
6,0.10838520808902848,0.96888,0.9634,0.8931587434445847
7,0.0846071082436482,0.97484,0.9663,0.8262302216678101
8,0.06817113689672144,0.98014,0.9675,0.7867389674053351
9,0.055067909549793126,0.98434,0.9699,0.7234942839390417
10,0.04584019484720133,0.98698,0.9694,0.6937374384292562
11,0.038259831539270664,0.98894,0.9714,0.6588219815281735
12,0.031833699321710145,0.99076,0.9752,0.6199525945412225
13,0.026110176306367968,0.99304,0.9731,0.562603458379582
14,0.021652409656936794,0.99432,0.974,0.5157498182999126
15,0.01888116272976217,0.99528,0.9737,0.49217140607469884
16,0.014819329698442641,0.99694,0.9757,0.4306511384291133
17,0.011835294370295341,0.99762,0.975,0.3680992313098917
18,0.00937209100789412,0.99818,0.9752,0.3190766383899232
19,0.00796978062153776,0.99864,0.9749,0.29551766104823113
20,0.006728184094228705,0.99914,0.9756,0.2574651538832909
21,0.004893080331943393,0.99956,0.9763,0.19684010790125842
22,0.0038132895772476963,0.99978,0.9757,0.15962942557081541
23,0.003271927314256961,0.99986,0.9763,0.1408658383926818
24,0.002835484258738993,0.99988,0.977,0.12580342424589389
25,0.002374163059539104,0.9999,0.976,0.10667057285236141
26,0.0019807914601127326,1.0,0.9767,0.08813133996432526
27,0.0018117507281524869,0.99998,0.9762,0.08295447186668609
28,0.0016500256278308269,0.99998,0.9765,0.07607070144754363
29,0.0015049243369936178,1.0,0.9765,0.07128156133751404
30,0.0013567694715786967,1.0,0.977,0.06387058055864395
