epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,0.7301669607077108,0.74784,0.83,1.6115774023239773
2,0.4430642525100952,0.8406,0.854,1.4587226098311645
3,0.391040072473876,0.85816,0.8599,1.3757118533220922
4,0.3627435099762267,0.86858,0.8684,1.3626161889707884
5,0.34017682708132907,0.875,0.8748,1.3434328995408251
6,0.32484495595021323,0.8794,0.8712,1.33379262586555
7,0.3061759559166096,0.88718,0.881,1.3101367404034379
8,0.2968126718726609,0.88984,0.8793,1.3248817974047924
9,0.2852705219365142,0.89448,0.8773,1.3347102258335974
10,0.27531332491189625,0.8983,0.8809,1.3356253970112775
11,0.2676082040561968,0.90092,0.8833,1.338986691735252
12,0.2585781738733697,0.90416,0.8727,1.3214395919589457
13,0.25320187899881924,0.90518,0.8809,1.3367572708166138
14,0.24058760670216187,0.90962,0.8883,1.3118050553167997
15,0.23677184447036376,0.91172,0.8919,1.3465497291247033
16,0.2318201006611671,0.9129,0.8856,1.3504611685827463
17,0.22480750640811364,0.9166,0.8891,1.3465438547340047
18,0.2172325145729515,0.91844,0.8856,1.3376502904093708
19,0.2107361653376647,0.9213,0.8908,1.3289245137651002
20,0.20748371291724618,0.92124,0.8817,1.349353009822757
21,0.20141604433641258,0.92568,0.8939,1.3542053145856001
22,0.19668115129518082,0.9279,0.8849,1.368407399842281
23,0.18863165033909748,0.92814,0.889,1.3495507912750904
24,0.18404285221948952,0.92962,0.89,1.3750708137351257
25,0.18240706687150024,0.9303,0.8896,1.3841669713623905
26,0.1763042831540946,0.93324,0.8917,1.3682187666962564
27,0.1731069455937961,0.9353,0.8872,1.3965647789827635
28,0.17010748044818716,0.9362,0.897,1.3950210252715218
29,0.16438646192955392,0.93772,0.8942,1.3885382276390388
30,0.16293562995865368,0.93806,0.8908,1.4346383502629099
