epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.1910700253818347,0.61358,0.7387,1.2584611074306253
2,0.5730987887477021,0.79878,0.8229,1.943512114303303
3,0.4755915354965898,0.832,0.8391,1.8575731370267825
4,0.43163623450242955,0.84632,0.8527,1.6555819069717879
5,0.3990015593140631,0.8554,0.8525,1.5271889338297555
6,0.3693489649945208,0.86634,0.8601,1.4529938070786907
7,0.33826948474625795,0.87614,0.8687,1.3531654109812876
8,0.3235819839379367,0.88134,0.8748,1.3781990331614817
9,0.30869200508422256,0.8857,0.8688,1.3747341649673515
10,0.29537452834532085,0.89104,0.8741,1.35922870374516
11,0.2860036567044075,0.8947,0.8759,1.3481550000173559
12,0.2741904610772724,0.89894,0.8856,1.3456759210960965
13,0.2652677738243509,0.90212,0.8878,1.3695425733672217
14,0.2535515762103336,0.90528,0.8807,1.3346401820286733
15,0.24872697424858123,0.90704,0.8913,1.347349009781113
16,0.2399988705316163,0.9106,0.8846,1.3553541250382846
17,0.2334915384307237,0.91218,0.8885,1.3591634791742193
18,0.22713929896845536,0.9165,0.8927,1.3539847605115245
19,0.2210790056573308,0.91746,0.8915,1.3678299513138146
20,0.2192296458794104,0.91816,0.8854,1.3760957449018583
21,0.21001057363474918,0.92094,0.8774,1.3724988327590342
22,0.2066376124082319,0.92252,0.8911,1.3699218604598882
23,0.19896165023336326,0.92492,0.8902,1.3697991005700376
24,0.19374287314713,0.92698,0.8903,1.3782405706723426
25,0.18862184810707028,0.92956,0.8952,1.380007205341298
26,0.1875035408169717,0.9289,0.8874,1.4104702222623173
27,0.18031685885108645,0.93136,0.8914,1.3780740100483426
28,0.17554520873252846,0.933,0.8946,1.412246581929054
29,0.16878461855870988,0.93602,0.8966,1.401429831075039
30,0.1681557320620474,0.93678,0.8952,1.4086866371096955
