epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.5329269457351216,0.54134,0.6592,0.981755109694119
2,0.6657451467059762,0.7591,0.8154,1.7975212065647064
3,0.5011197743589616,0.82314,0.8232,1.8498635594451611
4,0.4412688667626332,0.8433,0.8495,1.629203999543242
5,0.3942050704222811,0.85612,0.8604,1.5200949222066993
6,0.3632369114043158,0.86748,0.8637,1.4422446470471721
7,0.34006829597913396,0.87566,0.86,1.424435259867747
8,0.3206061190542053,0.88316,0.8592,1.3961590716600754
9,0.30485732539001936,0.88722,0.8826,1.3813305896763255
10,0.29440823787123044,0.89066,0.8607,1.3861822726638764
11,0.28196526525775567,0.89548,0.8866,1.372688091297823
12,0.26978250025102246,0.9008,0.8871,1.3643900103786846
13,0.2613055190676466,0.90316,0.8834,1.3827464915590304
14,0.25290314484949766,0.90604,0.8834,1.3879398166141643
15,0.24680728798784562,0.90866,0.8912,1.4027611651451302
16,0.24027918605967555,0.91092,0.8823,1.3892352089536726
17,0.23322242860446502,0.91438,0.8922,1.3889747467285893
18,0.22247491777895967,0.91682,0.8894,1.373378434024584
19,0.2164159914588227,0.91946,0.8893,1.384402278649184
20,0.21326139978016428,0.9214,0.8914,1.407395396772826
21,0.20765489393183031,0.92204,0.8918,1.4186364640835691
22,0.19986739282584404,0.9252,0.8819,1.4030788653853754
23,0.19591383421150468,0.9265,0.8917,1.412010855756573
24,0.19084355710526865,0.9275,0.8955,1.4142213939500914
25,0.18729431586592551,0.92886,0.8936,1.4133484416537392
26,0.18218961952116025,0.9311,0.8914,1.4145807941233743
27,0.1775880565061746,0.93378,0.895,1.4226471581868056
28,0.17268675988268517,0.93512,0.8881,1.4087960899113117
29,0.16659377268074876,0.93774,0.8944,1.4159760253586455
30,0.1627889951510007,0.93842,0.8947,1.4293887824381548
