epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,0.5827875347793712,0.83274,0.9213,1.1570127537126216
2,0.2108750832421929,0.93854,0.943,1.036121299461785
3,0.14191081048801657,0.9582,0.9567,0.9352766245166694
4,0.10594981756356671,0.96926,0.9631,0.867925132870765
5,0.08349438292829467,0.97572,0.9657,0.8311209675816332
6,0.06682241866615174,0.97988,0.97,0.7846002664919267
7,0.05587134076237126,0.98296,0.97,0.74344139010644
8,0.045900953039193476,0.98686,0.9716,0.6883791012547182
9,0.038329647462892455,0.9886,0.9713,0.6638792188357503
10,0.031356231190974033,0.99116,0.9744,0.6182204461087208
11,0.02742891524294022,0.9924,0.975,0.5921757545217291
12,0.02155682716778863,0.99462,0.9745,0.5077537176693031
13,0.01784066143641433,0.99538,0.9765,0.4709330241514884
14,0.014062616141864916,0.99728,0.9766,0.4029933200790356
15,0.012040336062136354,0.99762,0.9761,0.3753577434171748
16,0.00983002981921459,0.99812,0.9756,0.33172252475223185
17,0.007855215259944386,0.9987,0.9766,0.27790102754818136
18,0.006046989736819516,0.99936,0.9771,0.22931800674061475
19,0.005038522207937406,0.99954,0.9747,0.20398342250607898
20,0.004228585083880956,0.99966,0.9774,0.17501806597730324
21,0.0033866350239318737,0.99982,0.9777,0.14101544086335238
22,0.0028189681085754635,0.99996,0.9773,0.12180369192298623
23,0.002443491493693709,0.9999,0.9768,0.106508590343522
24,0.002162615104694255,0.99994,0.9772,0.0995747086149172
25,0.0019272619049487453,0.99996,0.9777,0.08911358183876132
26,0.001689924345511287,1.0,0.9784,0.0777157268897679
27,0.0015617341176136885,0.99998,0.9778,0.0733525286116582
28,0.001383066016645796,1.0,0.9779,0.06498833239106225
29,0.0012957002326474398,1.0,0.9774,0.06141457552736077
30,0.0011980876103183493,1.0,0.9776,0.05769939498055896
