epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.5722562366586816,0.50282,0.6665,0.9596991906983299
2,0.6626640429048587,0.76232,0.8178,1.8665424740087315
3,0.49757047601596777,0.8243,0.8277,1.8101237396361995
4,0.4392405347636594,0.84364,0.8489,1.587970695665134
5,0.39849814229532887,0.85538,0.8548,1.47034135885169
6,0.3641016966832416,0.86614,0.8667,1.3917496431428182
7,0.34183827429400077,0.87688,0.8724,1.3683088677139223
8,0.3245939570848289,0.88168,0.8634,1.3706896000926934
9,0.3073216900610558,0.88686,0.8793,1.3444757679303163
10,0.2961961914835226,0.89076,0.8781,1.3753781609686244
11,0.284328291826236,0.89502,0.8822,1.3595178084702728
12,0.27518335573584835,0.89798,0.884,1.3607538832205432
13,0.2663903212093789,0.89982,0.8907,1.3600176150831627
14,0.25849392412759153,0.90452,0.8917,1.355303656642574
15,0.2503683189182635,0.90594,0.8917,1.3616251281230272
16,0.2430793364696643,0.90914,0.8841,1.364785533063227
17,0.23678300544486175,0.91124,0.8911,1.370121165680607
18,0.22804717438490799,0.9156,0.8878,1.362025726619698
19,0.22114618993876384,0.91778,0.8909,1.3568610585686405
20,0.21404164931629702,0.91978,0.8758,1.3685372322835443
21,0.2080864422976056,0.9222,0.892,1.3636319351003334
22,0.2057166817548025,0.92392,0.8915,1.3890037635648298
23,0.199276455813814,0.92478,0.893,1.4047952649294408
24,0.19332403650083352,0.92774,0.8885,1.3949141506662566
25,0.19075814385414885,0.92804,0.89,1.3916285733166986
26,0.18503187818314565,0.93076,0.891,1.4083797637383555
27,0.17835313220844246,0.93284,0.8851,1.395191795023479
28,0.17260728910555848,0.93388,0.894,1.3906082183177582
29,0.1721631062962591,0.9342,0.8876,1.4159912453278425
30,0.16706681557838113,0.93664,0.8955,1.4071309962878902
