epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,0.5830888737212209,0.83822,0.9209,1.1406380650698082
2,0.208409273387183,0.93922,0.9466,1.0149481688811692
3,0.14118462222178116,0.95926,0.9548,0.9180940009929124
4,0.10720825145292617,0.96932,0.9624,0.8584711770158552
5,0.08605766387494362,0.97448,0.9669,0.8231613232813737
6,0.0689713895753207,0.97972,0.9694,0.7754838293857534
7,0.05842477573936953,0.98262,0.9712,0.7468851095337388
8,0.046717649223306755,0.98644,0.9684,0.6936321057358934
9,0.038716975314443805,0.98882,0.9735,0.663264640059006
10,0.0330916518296944,0.99064,0.9708,0.6280268145521618
11,0.02824366558789778,0.99196,0.9711,0.5857239191021446
12,0.022541380842285387,0.99416,0.9725,0.5269742013334684
13,0.01877160134899151,0.99536,0.9763,0.4831760036454758
14,0.01547804164573374,0.99652,0.9736,0.42906463273730355
15,0.013680918547494546,0.99678,0.9749,0.42721926151305084
16,0.009924296901830474,0.99824,0.9757,0.3304019199169331
17,0.00809768323968623,0.99896,0.9754,0.2874501186620015
18,0.006424268223698099,0.99926,0.9761,0.24502924794422953
19,0.005437518763102462,0.99948,0.9754,0.21811266312802988
20,0.004404815464980824,0.99954,0.976,0.18136030612979995
21,0.003525047121750985,0.99978,0.9756,0.14749657344619657
22,0.002960548554200267,0.99988,0.9762,0.12835633848686495
23,0.00274985617552677,0.99986,0.9747,0.11902503664587513
24,0.0021643648693902844,0.99996,0.9752,0.09665751466782782
25,0.00197478511912675,0.99998,0.9758,0.09091754625924235
26,0.0017506023691299453,1.0,0.9759,0.08047583485588765
27,0.0015965099853538353,0.99998,0.9754,0.07407488149813712
28,0.001473187224089537,0.99998,0.9764,0.06900361097988182
29,0.0013504628658179603,1.0,0.976,0.06343033811223346
30,0.0012496700475282205,1.0,0.9761,0.05999304835665847
