epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.1724246278824404,0.61626,0.7527,1.3607704380263532
2,0.5759571805177137,0.79664,0.8188,1.9453430467020993
3,0.4756428808011972,0.83336,0.8454,1.8001545872055016
4,0.43134290138092796,0.848,0.8548,1.6037550355927388
5,0.39650532845264813,0.85658,0.853,1.514026120784164
6,0.36201195197794445,0.8674,0.864,1.4234710403365236
7,0.3419681279288838,0.87536,0.8564,1.4076585731955675
8,0.32482470511970923,0.8819,0.8681,1.377408813361233
9,0.3071328879660353,0.8877,0.885,1.3513217331277472
10,0.2954728142989566,0.89124,0.8792,1.3630906272369818
11,0.2833889126968201,0.89536,0.8847,1.3392956626125303
12,0.27382548839387383,0.89724,0.8786,1.3563010245458038
13,0.26323745059578313,0.90142,0.886,1.3366746594368317
14,0.2574759313212636,0.90446,0.8838,1.376491622482365
15,0.2500915183302234,0.90676,0.8823,1.3833068585921653
16,0.24057711525570097,0.91106,0.8841,1.369932030892123
17,0.23293553025025845,0.91304,0.8803,1.3626301071833637
18,0.22565482537288342,0.91606,0.8818,1.3634261211366294
19,0.2227226575869886,0.91724,0.8883,1.392368536066614
20,0.21827923253064266,0.9179,0.8949,1.4131337045600612
21,0.21157311536181156,0.92108,0.8906,1.3915083710320648
22,0.20236143903316134,0.92392,0.895,1.3587322952534795
23,0.19828990963109008,0.92564,0.8888,1.3794085311944075
24,0.19068885349747164,0.92884,0.8903,1.3812347478543041
25,0.18971354286650868,0.92906,0.8953,1.4140255016477428
26,0.18142123737603502,0.9315,0.8898,1.3803483369265153
27,0.17614498333362363,0.93432,0.8894,1.4095964330693647
28,0.17060157727650213,0.93564,0.8859,1.4208894178645317
29,0.17138592549897444,0.93544,0.8952,1.445284459673013
30,0.16478255789136262,0.93876,0.8934,1.4248337108203695
