epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,0.5860390051284714,0.82996,0.9183,1.1542541797815407
2,0.20887971762805949,0.9389,0.9441,1.01101214413229
3,0.14250200502383892,0.95918,0.9596,0.9151356964189477
4,0.10639706178618323,0.9685,0.9642,0.8723148558925166
5,0.08338033090478948,0.97538,0.9667,0.8240449010406478
6,0.06692655797978705,0.9803,0.9698,0.7759116972331273
7,0.05453387404407334,0.98424,0.9715,0.7312612982729144
8,0.0466960193416642,0.98624,0.9729,0.7036693543581394
9,0.03883512947134331,0.98908,0.9709,0.6548565149605867
10,0.03191850562249441,0.99104,0.974,0.6081001585081155
11,0.027844870900687622,0.9919,0.9746,0.5884566152336945
12,0.02271777624085717,0.99404,0.9754,0.5272799507191486
13,0.018529006199988055,0.9955,0.9745,0.47438327702172767
14,0.014627247566224464,0.9968,0.9744,0.40859985680437233
15,0.01256273846473078,0.99714,0.9748,0.3790925994474368
16,0.010049587013856436,0.99816,0.9772,0.32582938487541135
17,0.007779450261193659,0.99892,0.9758,0.27139520730373773
18,0.006318502556419481,0.99932,0.9762,0.23710722703296694
19,0.005163600186925576,0.9994,0.9772,0.20181783865924863
20,0.0041553143337365985,0.99968,0.9766,0.16746158172965928
21,0.003560690309039464,0.99982,0.9775,0.14908947986203056
22,0.0029042565215965095,0.99992,0.9769,0.12462323977447426
23,0.002476261588233455,0.99996,0.9775,0.108995966554962
24,0.002236334637793027,0.9999,0.9774,0.0988236460964415
25,0.0020114951322328664,0.99994,0.9774,0.09126990694083734
26,0.001867939484557789,0.99992,0.9778,0.08688755239381439
27,0.001602091308863437,1.0,0.9775,0.07212160532786252
28,0.0014821813093637021,0.99998,0.978,0.06962622003531051
29,0.0013293085249105577,1.0,0.9773,0.062433831892120824
30,0.001249710855413387,1.0,0.9775,0.06002024093809296
