epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.5942935679117431,0.51222,0.6391,0.9322946223592615
2,0.6781986648469325,0.7517,0.8028,1.8165362779570797
3,0.5064433211522639,0.82288,0.8312,1.8231531837704764
4,0.4428661094640222,0.8435,0.8175,1.5999969114743091
5,0.39557994755408954,0.85828,0.8633,1.4787003944418982
6,0.3659707190435561,0.86604,0.8496,1.440480370268561
7,0.34348665266428763,0.87426,0.8559,1.4019067688747606
8,0.32339397471998355,0.88112,0.8744,1.3568349691278379
9,0.3074833027866033,0.8878,0.8565,1.3480988154192202
10,0.296758146294395,0.89008,0.8726,1.3631859640275672
11,0.28910747085652694,0.89264,0.8847,1.3750820155005707
12,0.274928267406838,0.89694,0.8792,1.33256071117766
13,0.2672407403683571,0.90058,0.8732,1.3602887248913225
14,0.2597573844291975,0.90402,0.8877,1.3606497719238757
15,0.2500463162008149,0.9069,0.8829,1.3462001466650297
16,0.24299795987546596,0.90838,0.8901,1.3589207234118486
17,0.2371965697240037,0.91174,0.8853,1.3601153435861322
18,0.22931624401141615,0.91378,0.8867,1.335903579377665
19,0.22242999892405538,0.91546,0.8883,1.3332328880286242
20,0.21718037380929797,0.91774,0.8863,1.3647323783537313
21,0.21109101944662573,0.92056,0.8911,1.3457098217762642
22,0.2053484171533676,0.92274,0.8916,1.3553263639839874
23,0.19898644130786552,0.92502,0.8764,1.3735254854716554
24,0.19594213473217567,0.92632,0.89,1.3794842678169463
25,0.18754276651841448,0.9292,0.8921,1.351926729253166
26,0.18283721272502562,0.93152,0.8909,1.378386489052311
27,0.18032367759005494,0.93212,0.8919,1.3846258747061289
28,0.17657973902905003,0.93294,0.8885,1.4092326224337497
29,0.17210112648832676,0.93562,0.8836,1.3857980582217253
30,0.1696516635691952,0.93622,0.8887,1.416985367302056
