epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.3251955057196605,0.66594,0.8656,0.868360062991773
2,0.3689238085694935,0.8951,0.9041,1.253237371155974
3,0.2675279139557763,0.92198,0.9304,1.1956663623019723
4,0.195251448284787,0.94322,0.9442,1.057835112605083
5,0.14624999843352018,0.95692,0.9546,0.9965851760353606
6,0.10700496447765652,0.96826,0.9625,0.903508574200382
7,0.08417629072611765,0.9755,0.9668,0.8458480192776296
8,0.06745515906375826,0.97986,0.97,0.7975092406955371
9,0.05529685788984408,0.98384,0.9701,0.7624628746805299
10,0.044756351609873915,0.98652,0.9734,0.7084846735144433
11,0.03838581306909871,0.98888,0.9725,0.6827625965448376
12,0.031358140458524364,0.99118,0.9751,0.609899226070269
13,0.025271182303088228,0.99284,0.9745,0.5617315346076182
14,0.020657372733210676,0.99492,0.9755,0.5096090927078629
15,0.017143824990392756,0.99604,0.9763,0.455116616946155
16,0.014484159394299558,0.99688,0.9768,0.4342038138620548
17,0.01161820341146949,0.99746,0.976,0.36562576493127735
18,0.009046258836086361,0.99862,0.9763,0.31252036147974555
19,0.00740916969574234,0.999,0.9765,0.2717403088082601
20,0.006282962329820861,0.99922,0.9765,0.2433506751778089
21,0.004888045127083615,0.99956,0.977,0.1962291376981923
22,0.004137819885164457,0.99964,0.9777,0.17461804595773442
23,0.0034242088906299485,0.99978,0.9767,0.14779107166953903
24,0.0028565889346761518,0.99986,0.9775,0.12975172201022894
25,0.00240389280319356,0.9999,0.977,0.1086401517170926
26,0.00210956063412242,0.99996,0.9783,0.09648504436720605
27,0.0019093791271116711,0.99994,0.9777,0.08829423187372323
28,0.0016450966628010224,1.0,0.9776,0.0763796452474199
29,0.0015215343801243512,1.0,0.9773,0.07115123410514824
30,0.001374816007991171,1.0,0.978,0.06539932288395146
