epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.9094358138416125,0.56046,0.784,0.6223256367195166
2,0.47332112445398367,0.87212,0.9022,1.2092298497600442
3,0.28647886401475847,0.9175,0.9314,1.1954687794050438
4,0.20307112651903306,0.94172,0.9465,1.0820345404368827
5,0.14359854927758123,0.95814,0.9568,0.9737827067759983
6,0.10792831711404388,0.96866,0.961,0.9038098109516033
7,0.08568349590077234,0.97452,0.9652,0.867810578962801
8,0.06801813533839286,0.98058,0.9698,0.7980102869408702
9,0.056816653564662846,0.98346,0.9692,0.7630037071828407
10,0.04721278272976484,0.98588,0.9712,0.7260864071353773
11,0.039166688382693465,0.98896,0.974,0.6860001961568993
12,0.03259033007238208,0.99116,0.9742,0.6287683491242274
13,0.02681230926407439,0.9928,0.9743,0.573628014948386
14,0.023010009817113323,0.99366,0.9723,0.5488996545539123
15,0.019068867407168698,0.99522,0.9756,0.5073173047572759
16,0.015357340124341638,0.99638,0.9741,0.44340284799991003
17,0.012201934735185903,0.99748,0.9746,0.3820600505019962
18,0.010072358856748795,0.99804,0.9756,0.3378921044417591
19,0.008064324945642236,0.99874,0.9755,0.2918119656860948
20,0.006622133972940554,0.99928,0.9745,0.2558177754079203
21,0.0052109940851088185,0.99944,0.9763,0.20548442272763848
22,0.004591206395201405,0.99954,0.9752,0.19895389389875096
23,0.003482545816643691,0.99976,0.9765,0.14685711342964577
24,0.002960488625245033,0.9998,0.9763,0.1305447398502759
25,0.002511840710510447,0.9999,0.9767,0.11544300602248689
26,0.002085269698148916,1.0,0.9759,0.09414548082793628
27,0.001923850605353925,0.99996,0.9768,0.09136850191048808
28,0.0017307970454641546,1.0,0.9764,0.08089506605778504
29,0.001542910168997978,1.0,0.9762,0.07283509573856903
30,0.0014813467268654874,0.99998,0.9767,0.07122206568480131
