epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.6046957000899498,0.49876,0.6524,0.9497643262919051
2,0.6637819594586901,0.75982,0.8108,1.8488029128228123
3,0.49840300568305623,0.8232,0.8109,1.811096247349502
4,0.435044420020812,0.8443,0.8506,1.5967680797632944
5,0.3968024096258766,0.85674,0.8631,1.4777677083020297
6,0.3607976454241044,0.87002,0.8666,1.3846866639346624
7,0.3380824193701415,0.8765,0.8601,1.364775237477801
8,0.3213446917455367,0.88124,0.8744,1.3402377255432394
9,0.3068970122262645,0.8874,0.8779,1.364881556379131
10,0.2953947240300953,0.89032,0.8709,1.376304519399192
11,0.2846039924056024,0.89478,0.8812,1.3546797240417547
12,0.276283242999364,0.89904,0.8826,1.363291659033162
13,0.26611335694675553,0.8997,0.8868,1.337650253567396
14,0.25633451610308167,0.90526,0.8897,1.3350097903099534
15,0.24913695216407555,0.90658,0.8737,1.3521210313600498
16,0.24362750812564665,0.90792,0.8769,1.3673790532547385
17,0.23521667300149454,0.91118,0.8874,1.3603730337352566
18,0.22927197780641143,0.91436,0.8808,1.3436336133349194
19,0.22016205187991758,0.9178,0.8898,1.3631706680743287
20,0.2154093604734944,0.91922,0.8871,1.3562062584533332
21,0.20829852986270966,0.9219,0.8908,1.3683810263158258
22,0.20606139881055222,0.92256,0.8971,1.376835824259963
23,0.2011215253625913,0.9241,0.8887,1.3783901797217215
24,0.19426845812031526,0.92676,0.8894,1.375187921265069
25,0.18957267524888904,0.92884,0.8929,1.391420090367022
26,0.18379364361810258,0.93072,0.8921,1.3920762044807402
27,0.1795715021774592,0.9325,0.8904,1.4012319910079951
28,0.17459696400291322,0.93484,0.8886,1.3894837086141767
29,0.17080512861995137,0.93448,0.8831,1.3778912212102516
30,0.16931810632081287,0.9364,0.8956,1.4272218673512533
