epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,0.7257208552049554,0.74266,0.8405,1.5848989972520993
2,0.4391606995440505,0.84264,0.8531,1.433206030992115
3,0.39015805711755364,0.85882,0.8603,1.3767910873935512
4,0.36198666613653796,0.8692,0.8629,1.3520527973271432
5,0.3440897545546217,0.87298,0.8737,1.359127471082934
6,0.32257590919275725,0.88036,0.8769,1.3252447597622867
7,0.30927977251732136,0.88802,0.8785,1.3268901837553502
8,0.29514545478555554,0.891,0.8688,1.3288056932789996
9,0.28250929296893235,0.89564,0.8818,1.310276666908172
10,0.2734546350205646,0.89856,0.8836,1.3517501266460188
11,0.26336404239125266,0.90292,0.8879,1.3352034032718736
12,0.25719821588386355,0.90418,0.8865,1.344474732283495
13,0.24926908037927756,0.90624,0.8919,1.3612768133932505
14,0.2436607675650693,0.90998,0.8917,1.3556778437898545
15,0.23613342364578296,0.91076,0.8949,1.3579450426661759
16,0.22868552769693878,0.9154,0.886,1.341841436274055
17,0.22270302864177452,0.91604,0.8897,1.3542749321687815
18,0.21422985629619234,0.92128,0.8904,1.3572574630172238
19,0.21098763205568352,0.9214,0.8895,1.3718293589904123
20,0.20209032629647522,0.92464,0.879,1.3428241492849566
21,0.19653309534882646,0.92646,0.8915,1.3531330523115985
22,0.19740621972343195,0.926,0.8935,1.4148980429092914
23,0.1879223537109697,0.92942,0.8925,1.3570407768663217
24,0.18410482804012268,0.93172,0.8929,1.3785745682672215
25,0.18065231716941538,0.9325,0.8854,1.3970206025119152
26,0.17753463296596048,0.93412,0.8923,1.429856537775538
27,0.1706518148050627,0.93524,0.8883,1.4053608433866027
28,0.16383161132111954,0.9384,0.8928,1.397021994478782
29,0.16314726966240292,0.93784,0.8923,1.4033986340562299
30,0.15794474633929828,0.94098,0.8966,1.4102851219744132
