epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,1.9287144689608717,0.51522,0.7475,0.6127863066646076
2,0.4887281300695351,0.8683,0.8984,1.2119908199744815
3,0.29056913913477717,0.91462,0.9259,1.193729077344272
4,0.2042309305704463,0.94074,0.9465,1.0607014862770798
5,0.14386931560037997,0.95856,0.9516,0.9453355879244468
6,0.10729781833365369,0.96892,0.9624,0.883551054865035
7,0.08663066335932335,0.97428,0.9664,0.8434327073997425
8,0.0688546319334956,0.9795,0.9657,0.7873082009054109
9,0.05664287229596168,0.98332,0.9716,0.7635258526436092
10,0.04757442686806821,0.98604,0.9677,0.7234534674738425
11,0.040121722477845505,0.98836,0.9713,0.6790476581569888
12,0.03331894897025131,0.9905,0.9716,0.6402046993792699
13,0.02785549696717683,0.99222,0.9736,0.5966143833082818
14,0.02368106254625975,0.99346,0.9736,0.551760048548799
15,0.019296244515375236,0.995,0.9746,0.5075397011990243
16,0.014886695771556123,0.99662,0.9742,0.42820635754057923
17,0.01238968982213877,0.99742,0.9743,0.3946518914768196
18,0.009834692323640825,0.99836,0.9752,0.3343148359097644
19,0.008251974625127239,0.99864,0.9741,0.3037458273052875
20,0.006782747594097182,0.99924,0.9747,0.2587170338284226
21,0.005271940028442003,0.99958,0.9755,0.214503419321271
22,0.004241773729727519,0.99958,0.9756,0.17834357640291515
23,0.003603342966988797,0.99974,0.9742,0.15295916401227555
24,0.0027389160605170407,0.9999,0.9746,0.11949561349857903
25,0.0023964764617505257,0.99996,0.9746,0.10890642228917703
26,0.0021027364744864345,0.99998,0.9765,0.0956957062561306
27,0.0019294450233635061,0.99996,0.9748,0.08998989000890609
28,0.0017006229641071706,0.99998,0.9748,0.07859094722022292
29,0.0015339294815437643,1.0,0.9763,0.07125045428232418
30,0.0014037341409133743,0.99998,0.9752,0.06609883823961678
