epoch,train_loss,train_acc,val_acc,grad_norm_epoch_avg
1,0.7206826102169578,0.7461,0.8193,1.6148826457121623
2,0.44345048077575994,0.84218,0.8536,1.501327616610638
3,0.38976248780556044,0.85964,0.8627,1.3936817110427118
4,0.36165944321076277,0.86788,0.8683,1.3948893056731932
5,0.34201368443725055,0.87378,0.8606,1.374120868075208
6,0.3271492214115989,0.88002,0.8663,1.3830640288074063
7,0.3059739692951255,0.88716,0.8733,1.3188570296502626
8,0.296911123034823,0.89136,0.8785,1.3469422138142768
9,0.28635959790262117,0.89428,0.8795,1.354312851850345
10,0.2745407076881212,0.89868,0.8772,1.3384863606894648
11,0.2675086239452862,0.9008,0.8819,1.3458123314159123
12,0.2575413288019807,0.9044,0.8869,1.3364690703908053
13,0.2495040892220824,0.90784,0.8881,1.351912671826752
14,0.24025052787302553,0.90984,0.8819,1.3240215508400681
15,0.23568784390264155,0.91102,0.8904,1.3405255066456554
16,0.2272581992685185,0.9146,0.8863,1.3385965336093026
17,0.22317234373382291,0.91674,0.8921,1.3684070196322917
18,0.21727186451901864,0.91912,0.8951,1.3701267047062793
19,0.2104153360342583,0.92064,0.894,1.3576005094205905
20,0.2097421006378158,0.9217,0.884,1.382842354467122
21,0.20114700680555742,0.9243,0.8869,1.3784980423445155
22,0.19857358976322062,0.92516,0.8898,1.3892456416685937
23,0.19040574534984347,0.9281,0.8898,1.3500332940319475
24,0.1853148541496614,0.93198,0.8923,1.365021904387386
25,0.1811586552730683,0.93222,0.8918,1.3918474185190388
26,0.1798428533327244,0.933,0.8874,1.4125413136927718
27,0.17537248059345023,0.93314,0.8924,1.407040927755869
28,0.16928851594934075,0.93664,0.8913,1.401421514818444
29,0.16300213748536757,0.93746,0.8905,1.398979357087278
30,0.16004187554654564,0.93974,0.8901,1.395203997523045
